,comment,language,enough words
279,"[2011-06-25] Kipróbálva a 2011-es év egyik Év játéka jelöltjét kellemes tapasztalatokat szereztem, de közel sem nyűgözött le a játék. Hatféle szimbólum és hat szín kombinációját rakjuk le kis fatéglatestek formájában, ebből alakul ki a szép végeredmény a játék végén. Mindenki hat elemből választ és vagy színnel vagy különböző formával szabályosan annyi elemet rakhat le, amennyit egy sor kialakításával létre tud hozni. Aki a hat különböző szimbólumot vagy hat különböző színt létre tudja hozni bónusz pontokat kap lerakáskor. A játék nem nehéz, akár családdal is játszható, de én mégis úgy éreztem van min gondolkodni és jobban is játszhattam volna, ha több időt töltök a lehetőségek végigszámolásával, amivel viszont rendesen elnyújtható a játék. Jó játék a Qwirkle, de valahogy nem annyira elegáns, letisztult, mint a Genial vagy a Rosenkönig számomra.  [2011-08-12] A játék hibája a nevéből létrejövő hatosokért járó bónuszrendszer, ugyanis ha a gyengébb játékos sokszor feladja a labdát a mögötte ülőnek (5-ösöket hoz létre), azzal tulajdonképpen megnyereti a játékot vele. Talán ezt kevesebb bónuszponttal egyensúlyoznám ki. 7->6",hu,ok
283,"Az eddigi idei esseniek közül ez tetszett a legjobban, igaz ezt is vártam a legjobban. Várakozásaimhoz képest csak enyhe csalódás volt, de még így is bőven a bármikor játszom vele kategória. Szép, gyors, taktikai, intuitív. Egyedül egy pici spiritusz, pici egyediség hiányzott nekem, de ez legyen a legnagyobb baj. ------------------ 10 játék után, csak egyre jobban szeretem. Újabb és újabb dolgok kerülnek a felszínre. Kiváló játék, bármikor szívesen leülök mellé. -> 10",hu,ok
306,"À l'époque, ce jeu devait être génial. Presque 20 ans plus tard, il demeure intéressant mais il a depuis été rattrapé et dépassé. À jouer à l'occasion.",fr,ok
337,"Gyakorlatilag ugyanaz, mint a schotten totten, de szerintem szebb. A második kiadás kártyái nagyon jó minőségűek, egyszerű, letisztult a grafika. Eggyel több lap van benne minden színből, mint a st-ben. Egyszerűsége ellenére egy nagyon összetett gondolkodós játék. Talán az egyik legjobb kétszemélyes játék. Nem kell félni a Knizia-hatástól, ez teljesen más játék, mint az elveszett városok, vagy a keltis.",hu,ok
345,規則: *每個人拿1腳色1槍跟8張子彈卡(1 band*3+2 bang+5 click)，銀行卡洗勻疊起，一個人當數數的，遊戲進行8輪，最後活著的錢最多的獲勝，每輪有7個階段 1.翻開5張銀行卡跟之前留下的放一起，所有活著的腳色立起 2.每個人秘密選一張子彈卡蓋在前面 3.一個人數到3，每個人拿槍指著一個目標(來不急指的失去目標) 4.一個人數到3，撤退的放倒立牌並拿一個羞恥標記(-5000元)，他的子彈卡跟指著他的人的子彈卡蓋著棄掉 5.快速子彈卡先結算，被打到的放倒立牌並拿受傷標記，且子彈卡棄掉 6.結算正常子彈卡，受傷的拿受傷標記並放倒立牌 7.立牌站著的分贓，一定要平均分配，不夠分的放著進行下輪 *拿到3個傷害標記視為出局，一回合可能會拿到多個受傷標記 *平手較少羞恥標記贏，在平手受傷多的贏 *進階規則 使用額外能力卡，每人起始抽一張，可在遊戲對應時間展示並使用 1.每一個掛點的人你獲得10000元，遊戲最後展示 2.4個標記才出局 3.可以拿出局人的槍更剩下的子彈卡，之後一回合用雙槍跟雙子彈卡，不能混洗 4.一回合最多1點傷 5.要先展示，如果該回合受傷，所有最後站著的都受1點傷，只能用一次 6.可最後選擇目標 7.可在階段3之後在選子彈卡 8.每張羞恥標記值5000元 9.bang*3卡可使用兩次 10.即使立牌倒了也可參與分贓，只能用一次 **5-6人可使用警察變體** *每個人起始抽身份卡(一定要放一張警察卡在裡面)，電話卡放中間，響鈴卡照數字疊起1在上面，並多1階段8 *警察獲勝條件為6局前打電話或是最後一個活著 8.分贓完後，參與分贓的由最接近數數的開始桌面下傳電話卡，警察可暗中翻面，如果最後是有打成功則放置響鈴卡在桌上，當第三張放在桌上則警察活到最後就獲勝(但只能最多撤退一次，恥辱標記翻面來標示),ko,ok
347,1,ERROR ON THE DANCE FLOOR,TOO SHORT
351,Részletes vélemény: https://boardgamegeek.com/blogpost/41978/kartyagyar-battle-lineasterix-san-juananno-xviii-c,hu,ok
356,"Nem mondom, hogy két party után összeállt teljesen a játék. Az biztos, hogy egy nagyon különleges darabról van szó, ami nagyon egyedi. Gyors, már-mér partyjáték szinten szórakoztató, de azért vannak benne döntési helyzetek és el lehet agyalni azon, hogy hogyan fékezhető meg egy-egy faj az adott partyban. Mindenképp kell még vele játszani, már csak azért is mert elsőre nem minden játszottunk jól. :)",hu,ok
384,AOS is better,de,TOO SHORT
390,No comments,fr,TOO SHORT
403,"Egy újabb különleges Chvátil-játék, amit kipróbálhattam. A kártyák lehelyezése nagyon jól ki van találva (nagyon halványan a Shogunra emlékeztet), ez a része nagyon tetszik. A csata már kevésbé. Vagy mi voltunk bénák, vagy a játék túl erős ""ellenfél"", de második körig el se jutottunk:) Játszanék még vele mindenképp! Nyelvfüggő... --- Az újabb partit már 4-ből 3-an túléltük, de így is nehéznek tűnik:) Amit még kiemelnék: nagyon jó a grafika, a táblákon nincs egy betűnyi szöveg sem, csak a kártyákhoz kell nyelvtudás. --- 4-dik alkalommal úgy tűnik sikerült végre a jó szabályok szerint játazani, így más volt! Nem tűnt reménytelennek, mindenki simán túlélte (nem is nagyon lehet elveszíteni idő előtt, szóval valahogy nagyon rossz szabályokkal játszottuk korábban!). Ami furcsa volt, hogy szorosnak éreztük mindannyian, ehhez képest a végén megdöbbentően nagy különbségek lettek: ketten minuszba kerültünk, ketten pedig plusz 20 körül végeztek, ki érti ezt:) A másik, hogy elég hosszú a játék, szabállyal mindennel volt vagy 3 és fél óra 4 fővel!",hu,ok
407,"Since I can usually stop, I do OK.",it,ok
415,A colorful Euro.,ro,TOO SHORT
437,"Két perc alatt megtanítható, 10 perc alatt lejátszatható levezetőfelvezető játék. Egyszerű, de nagyszerű.  Nagyon jól tanítható, és egyből szórakoztató bármely társaságban.  -> 8 ",hu,ok
450,See Carcassonne.,it,TOO SHORT
475,SOLD IT!,id,TOO SHORT
494,規則: *放置圖版，並放置對應的資源在對應區，錢幣卡分類擺放，奉獻版塊開著放上面，幫助卡洗勻(每人先發一張建築幫助卡)，省分卡每有一個玩家就拿三張，之後全部洗勻 *每個玩家拿一個顏色米寶，分數標記放0，每人拿20圓，每人在拿一張盜賊卡，隨機起始拿標記 *遊戲進行兩個時代，每個時代有三輪，每輪四個階段，每個時代結束會記分 1.競標階段 抽等同人數的省份卡放置在對應圖版位置，且同時放置該區的競標獎勵(石頭錢幫助卡)，玩家輪流放一個工人在省分卡上競標格，要放有人的要比他高，輪到你時如果你放的被標過則要移動到其他的標(除非使用賄絡幫助卡)，競標階段直到每個人都有標到一個省份 2.市場階段 照順位可買幫助卡/農夫/石頭，價格第一個一圓，每多一個多一圓，三種分開算，幫助卡可買張數跟你占的省份旁標示有關(多個選最大不累加)，農夫跟石頭買了要馬上放 *版塊上的田每個可以放一個農夫，農夫幫助卡的農夫可放任意省份無視農田 *當省分有三顆石頭換成一個金字塔，原本就有金字塔的換成兩層，建築幫助卡可讓你用兩顆蓋一個金字塔一次 3.貢獻階段 暗出金錢卡，如果是出盜賊卡則改從銀行拿三圓，加總所有金額的總合，拿對應數值的奉獻版塊，然後貢獻值照大到小拿3/2/1/1/1個獎勵(幫助卡/農夫/石頭)出盜賊的沒獎勵，平手比順位，第一的同時拿起始玩家標記 *藍色的幫助卡可一起跟著出增加貢獻值(但是不算在個人貢獻值)，順位在輪到你時在選擇要加還減 4.收獲階段  照順位，省份有礦的拿，駱駝的要看貢獻版塊是否有駱駝可拿，每個農夫根據貢獻版塊拿錢 *寶藏卡出時選一個省份不拿該區收入改拿8圓，大收獲指定一個省份每個農夫+1圓 *每個階段不能出兩張一樣的幫助卡，每張幫助卡可棄掉當1圓 *每個時代結束 每個省份的寺廟拿分，每個省份你的一個金字塔一分，你省份裡最少金字塔的每座3分，尼羅河兩岸各選一個省份最多金字塔的該玩家拿5分(平手比石頭在坪手都拿)，滿足黃色幫助卡的拿3份 *記完分後，場上農夫清空，工人回手，省份牌拿走洗勻 *第二個時代結束額外記分，手上錢照順位拿6/4/2分，平手都拿但沒下個名次，之後最高分獲勝平手比金字塔數，在比石頭 **專家規則** *省份牌改為起始每人發三張，每輪每人同時出一張,ko,ok
508,1,ERROR ON THE DANCE FLOOR,TOO SHORT
512,like it,sq,TOO SHORT
533,Unforgiving.,da,TOO SHORT
549,Vélemény: https://boardgamegeek.com/blogpost/38899/mauer-bauer-torres-medina-manhattan,hu,ok
600,"Vinci lite.  Not better, not worse, just different.",nl,ok
622,looks like a great worker placement,nl,ok
638,"Az utóbbi évek egyik legjobb eurogém-e. Valamiért a Kingsburg jutott eszembe róla, de annál sokkal de sokkal mélyebb, változatosabb és mindenekelőtt jobb. Euro-hoz képest egész sok kütyü van benne, a setup se 2 perc, de ez a setup jó arra, hogy ne legyen 2 egyforma parti. A térképen szereplő városok jellemzőit random kártyákkal határozzuk meg, és minden játékos random szerepet kap, és ezek a szerepek adják a játék sava-borsát. Az alapszabályok is nagyon jól egybe vannak gyúrva, de ezek a szerepek még adnak az egésznek egy erős csavart. Az egyik, ami nagyon tetszett az a kockák egymásra helyezése. A másik ami jó, hogy a térkép tematikus. A Himaláya az Himaláya, azt nem lehet csak úgy kerülgetni. Ha valaki elindul egyik úton, az elég komolyan elkötelezi magát, és mivel összesen 4 vagy 5 teljesen különálló út van, legalább ennyi teljesen különálló kombó kínálkozik a városok tulajdonságaiból. Persze van olyan szerep vagy olyan kártyák, amik segítségével akár egész nagy része is beutazható a térképnek, illetve nem is feltétlenül kell erőltetni az utazást, lehet hogy valakinek a szerződések teljesítése szimpatikusabb. Ha nem lenne elég a városokban rejlő sok lehetőség, vannak beépített akciók is. Ideiglenesen szerezhetők újabb kockák, amik nagyon megnövelik a lehetőségeinket. A játék a sokrétűsége ellenére nagyon koherens, nem nagyon tudnék belekötni. Talán egyedül a célkártyákat érzem kicsit feleslegesnek, és a szerepek kiegyensúlyozottsága kérdéses, de szerintem mindegyikkel lehet nyerni. A játék a bonyolultságához képest egész rövid, 2 óra kb. Ajánlom mindenkinek, aki a kockás eurokat szereti.",hu,ok
639,"[2015-10-23] Játékostársam rögtön a Kingsburggal hasonlította össze a játék után és tényleg arra hasonlít a legjobban, de annál szerteágazóbb és mélyebb kicsit. A grafika és dizájn viszont ugyanolyan kimagasló. Kockákkal dobunk a körünk elején és azokkal végzünk ""munkáslehelyezéseket"". Van térkép, amin utazni tudunk, amihez célkártyákat is kapunk, ha két-két várost meglátogatunk a játék során. Ezen kívül még a különböző nyersanyagok beadásával megoldott küldetések adnak győzelmi pontot. Fix öt körös játék, ami többedikre gyorsan lemehet. Az újrajátszhatósági faktora elég magas, mert minden városban változnak játékonként az elérhető bónuszok és a mindenki számára a játék elején választott szerep is. Ez egy elég érdekes színt ad még a társasnak, ugyanis ezek a szerepek rendkívül erősek és ezért jelentősen építjük majd rá a stratégiánkat a játék során. Jól működő játék lett a Marco Polo. Egyedüli hibájának talán a kezdőjátékos sorrendjét eldöntő mechanizmust érzem, illetve azt, hogy magának a kezdőjátékosnak talán kicsit nagy az előnye. A top100-as helyezését egy játék után még erősnek érzem, de tetszett.  [2015-10-25] Második játékra megkapja a 8-ast, mert viszonylag gyors a játék, a szerepek elég kiegyenlítettek. Ahogy korábban említettem nagyon fontos a jó szerepválasztás, amit szerintem erősen befolyásol a pályára sorsolt bónuszok és azok elhelyezkedése. A kezdőjátékost még mindig kicsit erősnek érzem, de legyen csak ennyi baja a játéknak.",hu,ok
641,"Gyönyörűen kivitelezett játék. Nem sok társasjáték esetében látni festett figurákat. Minden eleme nagyon szép. Ezen túl egy nagyon jó kétszemélyes játékról van szó. Az egyik fél a szörnyeket, a másik a menekülő csapatot hivatott vezetni. A pálya minden játék során változik, mert külön darabokból épül a menekülők haladása szerint. Igaz, hogy kockadobásos a játék, mégis nagyon jól tudják a játékosok ezen dobásaikat a számukra legjobb módon rendezni. Viszont a barlangi járatok véletlenszerű felhúzását már nagyobb szerencsefaktornak éreztem.  8->7",hu,ok
642,No comments,fr,TOO SHORT
643,"""Dungeon"" delve done right . . .",nl,ok
709,"[2012-02-19] Ez nem jött be. Nekem semmilyen arkhami hangulatot nem hozott. Nagyon könnyű, még nem hallottam vesztes partiról, de a fő baja a monotonsága. Megyek egy helyszínre, dobok, sikerül megkapom a lapot, nem sikerül vesztek valamennyi épelméjűséget vagy életerőt. Ez ismétlődik a nyerséig. A különböző tárgy és varázskártyát is kevéssé változatosak, igaz nem is nagyon lehetett volna változatosabbá tenni őket. A játék egyedüli erénye a hossza. 40 perc alatt lejátszható egy parti.",hu,ok
729,"Talán a legéletszagúbb játék (leszámítva a ""Pecunia non olet""-et:)), a legjobbak közt mindenképp. Az állatok szaporodására, és a vetés mechanizmusára gondolok. Még egy városi ember is elhiszi, hogy ez nagyjából így megy a valóságban is:) Nagyon igényes a kivitel. Pozitivum az is a játéknak, hogy a már megszokott akciókiosztásos mechanizmust felfrissítették a kártyákkal. Ezzel azonban ki is merült az eredetisége. Épp ezért nem adok rá több pontot, mert összevetve más, kevésbé favorizált játékokkal, nem érzem annyira újszerűnek az egésznek a mechanizmusát. Döntően csak korábban kitalált panelek lettek egymásra pakolva. Ráadásul a szerencsefaktor is túl nagy, ha a kezdő kártyakiosztást alkalmazzuk. Épp ezért a haladó kiosztást javaslom! Összességében nagy élményt ad, és kellően komplex ahhoz, hogy sokféle győzelmi taktikát kínáljon. --- 2 év szünet után újra előkerült a játék, és végre a családi változatot is kipróbáltam. Ez alapján azt mondom, hogy szívem szerint soha többet nem is használnék kártyát, az csak a ""hogyan bonyolítsunk feleslegesen túl egy amúgy kártya nélkül is tök jól működő játékot"" jegyében lett szerintem hozzá legyártva, meg azért, hogy ráírhassák, hogy 120 perc a játékidő. Kártyák nélkül 3 fővel 1 óra alatt lement az egész! A kártyás változat helyett inkább Caylusozok.",hu,ok
738,No comments.,fr,TOO SHORT
742,"trading game, i'm not a big fan",tl,ok
759,"[2011-12-10] 2009-es esseni sikerjáték. Nem véletlenül. Tipikus gémerjáték. Absztrakt, számolgatós, de ebből a típusból az egyik legjobb. A játékosok a Hansa városokban járnak a kereskedőikkel és házakat, útszakaszokat foglalnak el. Nagyon sokfajta pontszerzési lehetőség, óriási szabadság, talán a legszabadabb játék, amivel eddig találkoztam. Nagyon sokfajta út a győzelemig és rövid játékidő. Tényleg minden elemében nagyon jó a játék. Legjobban a dinamikus vége tetszett, pedig a fix körös játékokat kedvelem jobban. Ha valaki eléri játék közben a húsz pontot rögtön jön a pontozás. Nagyon jó stratégiákat lehet kidolgozni, tényleg jól működik a játék. De csontszáraz cserébe. Még a Power Gridnél is szárazabb, nem éppen családi és úgy érzem x játék után egy jó fejű embert nem igazán lehetne benne megverni, max. egy többszemélyesben, ahol bekavarhatnak a többiek. Mondjuk pont ezért volt órási siker a gémerek körében. A szerencse egyedül a bónuszlapkák behozásánál jön elő. Nekem ez nem hiányzott bele, de gondolom úgy érezték ennyit kell bele tenni.  [2011-12-17] Öten is tökéletesen működik, nagyon kiegyensúlyozott a kétoldalas tábla.  [2013-01-05] Ez nem kétszemélyes játék, az ötlet jó a kétszemélyes verzióra, hogy tartományokban folyik a játék, de ez sem segít rajta. 3-an már elmegy, de igazából 4-en és 5-en a legjobb egyértelműen. Ketten nagyon nem ajánlom.  [2014-12-07] Emelek egyet a ponton, mert ez a játék szinte tökéletes. Egyszerű, érthető szabályok, magán a saját kis táblánkon minden megtalálható. A játék egy óra szinte mindig, bármennyi játékossal. 8->9",hu,ok
760,"Szuper! Többen azzal riogattak, hogy mennyire száraz játék. Nem tudom, ezt pontosan hogy kell érteni. Tény, hogy nem tematikus, hanem inkább egy absztaktabb, eurogémereknek való darab, de nekem nagy élményt nyújtott (talán mert én is az vagyok?). Az előrejelzések, és a szabálymagyarázat alapján valami ijesztőbbre számítottam, de ez egy kifejezetten könnyed, pörgős játék, csak meg kell szokni a világát, mert elég egyedi! Gyorsan sorra kerülünk (3 fős parti volt), és általában a jó és a még jobb közül lehet választani, nehézségét és ütemét tekintve a rondellásokhoz tudom hasonlítani (Hamburgum), csak itt még nagyobb a szabadság, mert nem köt minket a rondella. És azt hiszem ezzel el is érkeztem a játék lényegéhez: a néhány jól kitalált akció szinte végtelen lehetőséget kínál, és számtalan nyerő stratégia sejlett fel a két parti során. Kreatív emberek előnyben! A játék folyamatosan alkalmazkodást igényel a többiekhez, az is bizonytalan, hogy mikor fejeződik be a játék, szóval erősen taktikai játék! A segédlet jó, a játék teljesen nyelvfüggetlen (bár magyar szabály még nincs), és szerintem kifejezetten szép! Aki tud lelkesedni pusztán egy jól kitalált mechanizmusért, annak kötelező darab.  Ami engem zavart, az a túl gyors befejezés, a 20 pont elérése elég váratlanul véget vethet a játéknak... --- 5-en is szuper! --- Ketten sajnos nem olyan átütő, bár a plusz szabályok nélkül nem rossz úgy se, talán kicsit nagy a pálya. A plusz szabályok viszont eléggé megváltoztatják, megtörténhet, hogy végig csak a tábla egy szegletében zajlik a játék, és a fejlesztések nagy részéhez nem nyúlunk. Ez is érdekes, de teljesen más játék.",hu,ok
766,"Még bizonytalan vagyok ezzel a játékkal kapcsolatban. Tetszett is, meg nem is. Alapvetően nekem való mechanikailag, de a megjelenése nem annyira kapott el, és kicsit nehezen tervezhető ahhoz képest, ami. A Between 2 cities-zel érezni némi hasonlóságot, és azt jobban szeretem a játékosok közötti interakció miatt.",hu,ok
776,"Mivel eléggé nagy lett a hájp a Santorini körül, csak kipróbáltam. A Six MaKing készletem tökéletesen alkalmas erre. :)  Furcsa, de valahogy az ilyen nagyon absztrakt játékoknál egyáltalán nem villanyoz fel az, hogy optikailag ennyire felturbózzák. Nincs bajom azzal, ha valakinek erre van szüksége, hogy élvezzen egy sima táblával és korongokkal is játszható játékot, de én azért jobban szeretem az egyszerűséget és eleganciát e téren.  Maga az alapjáték jó. Sőt, nagyon jó, simán 9-10 körüli pontszámot érdemel, kiváló stratégiai játék, igazán feszült és óvatos körök váltják egymást. Tényleg ideálisan letisztult szabályrendszerű, rövid játékidejű, egyszerű, de mély játék.  Persze ez manapság már nem elég a dicsőséghez, kell a sok-sok extra. Nos, az alapdobozban (nem KS) van 30 istenség kártya, ami mindenféle különleges képességgel ruházza fel a játékosokat, így, mondhatni, aszimmetrikussá válik. És ez itt valahogy nem tetszik. Az aszimmetrikusságot szeretem, de itt valahogy nem szimpatikus, szerintem ilyen formában inkább bosszantó, mint érdekes. Ha játszanám is kártyákkal, csak úgy, hogy mind a két fél ugyanazt a különleges képességet használhatja.",hu,ok
779,"Nehéz véleményt mondanom az alapjátékról, mert csak kieggel együtt játszottam, és elég jelentős hányadát a kieg tette ki. Ha elképzelem lecsupaszítva, a nagy kockák, ablakok, aranyazás nélkül az alapokat... hát valószínűleg teljesen más kategória. De így mindenestől nekem nagyon bejött! Valószínűleg a kieg felfelé húzza a játékot, számomra legalábbis érdekesek voltak a plusz elemek. Vicces az a koránkelős rész:) De életszerű, ki a fene tudna reggel 6-kor festeni. Szívesen játszanék egyszer majd külön az alappal is, bár lehet, hogy akkor lefelé mozdul a pontszám. --- Kipróbáltam az alaphoz járó 3 kieggel, így is jó! Állítólag az összes kieg nélkül kicsit már túl egyszerű...",hu,ok
816,#NAME?,vi,TOO SHORT
835,"Kíváncsi voltam az egyik legnagyobb 2012-es esseni favoritra. Nem rossz, de talán egy kicsit többet vártam tőle. Ez a 3. key, amit próbáltam, és kb. azonos játékélményt adott mindhárom játék. Na jó, a Keyflower talán egy árnyalatnyival jobb, minta másik kettő... A legjobban a licites rész tetszik... egy kicsit Amun-re-s, de annál összetettebb. A többféle licitszín nagyon eredeti ötlet!! A téli épületeket viszont annak ellenére lutrinak érzem, hogy egy részét ismerhetem végig... Ami nem tetszett, mert nehézkes volt, az a szállítás része, szinte teljesen használhatatlannak éreztem, ami azért gond, mert az épületek nagy része nyersanyaggal fejleszthető. Nem rossz játék ez, szívesen játszom máskor is, de nem átütő szerintem. Bár az is hozzátartozik a történethez, hogy az elején a szabállyal egy kicsit szenvedtünk, ez nyilván levont az élményből! Na majd legközelebb talán jobban tetszik. --- Újabb próba: most jobban tetszett, de nem értem mit keres a top25 helyen. Nem annyira érzem letisztultnak továbbra sem, hogy a fenébe jön a képbe pl. a ""nyári hajók"" lapkatípus... Minek? Nem elég hogy van kezdőlapkánk, hajók, sorrendlapkák, meg a 4 évszak? Minek a nyáron belül még egy külön kategória?  A zöld emberek jó kis taktikázást visznek bele, ez tetszik viszont.",hu,ok
836,"[2013-02-09] Nos, ha valaki sokallja a Le Havre, Ora et Labora lehetőségeit, akkor az ne kezdjen a Keyflowerrel, ugyanis ebben a játékban hihetetlen mennyiségű lehetőség van, ami szerintem már átláthatatlan. Én úgy gondolom optimálisan lehetetlen játszani benne, maximum egy általános stratégiára lehet törekedni. A játékosok négy évszakon át licitálnak Catan szerű lapkákra, amiből a városukat építik. Minden lapkának van egy tulajdonsága, sőt fejlesztés után még ezen tulajdonság jobb formája is rendelkezésre áll. Ezen felül minden lapka a használható is, akárkinél és akárhol is van. Különböző színű embereinkkel licitálunk vagy használunk lapokat. A 4 körös játék már második köre is szinte átláthatatlan lehetőségmennyiséggel operál. Nagyon sok ilyen lap kerül elő és nehezen optimalizálható figuráink jó helyre rakása. Persze minden ér valamit, de szerintem annak ellenére, hogy az első játékunkban nagyon szoros végeredmény született simán elképzelhető nagy vereség is. Szaharaszáraz a játék, semmilyen téma nem jön át, ez full optimalizálás. Megmondom őszintén csak azért nem lep meg e tavalyi esseni játék sikere, mert tudom a fő geekek ilyen játékokra vágynak. Nekem, aki már tényleg elég komoly játékokon is túl van már sok volt. Nem katasztrófa játék a Keyflower, a licitmechanizmus és embergazdálkodás kifejezetten tetszik a játékban, de a sok lehetőség megöli az élményt. Nálam ez gyenge 6-os csak.  [2015-07-04] 2 évvel későbbi második játszma alapján pontosan ugyanaz a véleményem, mint korábban, sőt bejött a jóslatom is, ugyanis most jóval kevésbé kiegyenlített végeredmény következett be, a játék végi pontot hozó lapok következtében. A holtidő is nagy lehet. Nem javult egy cseppet sem a játékról a véleményem. Túlértékelt a jelenlegi 25. helyezése.",hu,ok
865,No comments,fr,TOO SHORT
867,"Egyszerű, gyors, könnyed kétszemélyes kártyajáték. Termékeket és tevéket kell benne szereznünk, kb. 3 perc alatt elmagyarázható szabályok alapján. Szerintem sokkal jobb, mint a hasonló Lost Cities. Egyetlen hátránya, a nehézkes setup, ugyanis nagyon meg kell keverni a lapokat a party-k között.",hu,ok
875,1,ERROR ON THE DANCE FLOOR,TOO SHORT
884,#NAME?,vi,TOO SHORT
